(57095, 127)
(426606, 127)
(426605, 128)
(257604, 1097)
(257603, 1098)
(257602, 1099)
(326307, 1099)
(168111, 1607)
(144872, 1608)
(168110, 1608)
(144871, 1609)
(305287, 2039)
(65081, 2040)
(305286, 2040)
(305285, 2041)
(214129, 2542)
(32667, 2569)
(386617, 2569)
(395337, 4089)
(53421, 4090)
(395336, 4090)
(106102, 4737)
(154924, 4737)
(242720, 4737)
(106102, 4948)
(154924, 4948)
(242720, 4948)
(95178, 5565)
(95177, 5566)
(371568, 5566)
(95176, 5567)
(243467, 5567)
(371567, 5567)
(243466, 5568)
(371566, 5568)
(243465, 5569)
(77563, 5631)
(478730, 5631)
(243465, 6208)
(243466, 6209)
(371566, 6209)
(95176, 6210)
(243467, 6210)
(371567, 6210)
(95177, 6211)
(371568, 6211)
(371569, 6212)
(47471, 6256)
(337247, 6256)
(466061, 6256)
(47470, 6257)
(47469, 6258)
(135656, 7064)
(135657, 7065)
(239211, 7065)
(303127, 7065)
(303128, 7066)
(230679, 7600)
(230680, 7601)
(206918, 7602)
(230681, 7602)
(319022, 7602)
(230682, 7603)
(319023, 7603)
(230683, 7604)
(230684, 7605)
(65081, 8833)
(305286, 8833)
(343545, 9234)
(196023, 9365)
(362788, 9365)
(196022, 9366)
(362787, 9366)
(196021, 9367)
(196020, 9368)
(180144, 10435)
(6082, 11414)
(6081, 11415)
(379694, 11721)
(426718, 11862)
(272824, 11863)
(426719, 11863)
(272825, 11864)
(426720, 11864)
(447794, 13513)
(481256, 13513)
(77852, 13621)
(77853, 13622)
(305417, 13622)
(495589, 13622)
(8986, 13844)
(69235, 13844)
(399766, 13908)
(106103, 14647)
(106102, 14648)
(154924, 14648)
(242720, 14648)
(138031, 15443)
(379455, 15443)
(135658, 15667)
(135657, 15668)
(239211, 15668)
(303127, 15668)
(239210, 15669)
(303126, 15669)
(47473, 17488)
(466063, 17488)
(47472, 17489)
(337248, 17489)
(466062, 17489)
(47471, 17490)
(337247, 17490)
(466061, 17490)
(466060, 17491)
(466059, 17492)
(192609, 17950)
(125183, 17951)
(192608, 17951)
(376471, 17951)
(376470, 17952)
(376469, 17953)
(376468, 17954)
(376467, 17955)
(376466, 17956)
(405857, 18257)
(60688, 18258)
(405858, 18258)
(95176, 18723)
(243467, 18723)
(371567, 18723)
(243466, 18724)
(371566, 18724)
(453790, 18964)
(106393, 18965)
(327911, 18965)
(453789, 18965)
(106392, 18966)
(5453, 19199)
(214232, 19199)
(214231, 19200)
(376470, 20440)
(125183, 20441)
(192608, 20441)
(376471, 20441)
(192609, 20442)
(32667, 20636)
(386617, 20636)
(251665, 21778)
(157651, 21779)
(251664, 21779)
(440674, 21779)
(157651, 22983)
(251664, 22983)
(440674, 22983)
(440675, 22984)
(440676, 22985)
(440677, 22986)
(440678, 22987)
(135657, 23077)
(239211, 23077)
(303127, 23077)
(135658, 23078)
(135659, 23079)
(390326, 23787)
(327910, 25379)
(106393, 25380)
(327911, 25380)
(453789, 25380)
(106394, 25381)
(272824, 25833)
(426719, 25833)
(487854, 27336)
(487853, 27337)
(144872, 27565)
(168110, 27565)
(144871, 27566)
(142685, 30046)
(302472, 30046)
(77563, 30591)
(478730, 30591)
(176714, 30812)
(176713, 30813)
(176712, 30814)
(176711, 30815)
(206917, 31721)
(206918, 31722)
(230681, 31722)
(319022, 31722)
(230682, 31723)
(319023, 31723)
(319024, 31724)
(206917, 31934)
(206918, 31935)
(230681, 31935)
(319022, 31935)
(206919, 31936)
(5454, 32181)
(5453, 32182)
(214232, 32182)
(291275, 32933)
(291276, 32934)
(466059, 33396)
(466060, 33397)
(47471, 33398)
(337247, 33398)
(466061, 33398)
(57095, 33731)
(426606, 33731)
(261419, 34386)
(261420, 34387)
(157649, 34813)
(157650, 34814)
(157651, 34815)
(251664, 34815)
(440674, 34815)
(251665, 34816)
(112863, 34926)
(181762, 34926)
(380319, 34926)
(380320, 34927)
(154, 35068)
(379456, 35297)
(138031, 35298)
(379455, 35298)
(138030, 35299)
(379454, 35299)
(60688, 35564)
(405858, 35564)
(8986, 35689)
(69235, 35689)
(8985, 35690)
(69234, 35690)
(69233, 35691)
(257602, 35929)
(326307, 35929)
(257603, 35930)
(257604, 35931)
(257605, 35932)
(141874, 36311)
(141875, 36312)
(196022, 36455)
(362787, 36455)
(196021, 36456)
(261294, 36746)
(269452, 36746)
(327914, 37555)
(327913, 37556)
(327912, 37557)
(106393, 37558)
(327911, 37558)
(453789, 37558)
(453788, 37559)
(112863, 38550)
(181762, 38550)
(380319, 38550)
(447794, 39003)
(481256, 39003)
(464690, 39859)
(305419, 42248)
(305418, 42249)
(77853, 42250)
(305417, 42250)
(495589, 42250)
(495588, 42251)
(36320, 42706)
(36319, 42707)
(36318, 42708)
(142684, 44811)
(302471, 44811)
(142685, 44812)
(302472, 44812)
(380317, 45217)
(181761, 45218)
(380318, 45218)
(112863, 45219)
(181762, 45219)
(380319, 45219)
(112864, 45220)
(395334, 45640)
(395335, 45641)
(53421, 45642)
(395336, 45642)
(77852, 48457)
(77853, 48458)
(305417, 48458)
(495589, 48458)
(125183, 48845)
(192608, 48845)
(376471, 48845)
(376472, 48846)
